분야 및 연도,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
B 화학산업_10 기타,1255.78,1417.46,3191.14,3011.67,3656.79,4114.84,4382.68,4702.27,5146.03,5918.17,6234.29,6658.8,5866.02,8387.96,10449.09,9033.67,7947.43,1589.87,1257.48,1245.07,1264.48,519.52,414.07,393.53,358.99,241.47,359.55,103.79,126.37,132.21,104.87,124.36,104.52,70.72
C 금속산업,13065.28,14268.57,14869.87,16695.67,16299.28,17494.66,18758.51,18163.94,17416.13,17322.98,18497.93,19023.5,18604.88,18923.91,19500.74,23182.06,23500.55,20297.11,22636.03,19241.54,21393.04,18959.69,18105.21,29786.35,29183.58,31240.76,26245.3,27079.04,26564.17,25829.53,23349.72,22424.98,23039.15,23764.98
C 금속산업_1 철강생산,13041.22,14268.54,14868.81,16695.57,16296.95,17488.62,18750.33,18153.48,17404.74,17305.59,18480.56,19007.17,18581.26,18901.32,19475.27,23102.63,23326.35,20055.63,22416.74,19052.74,21157.46,18691.13,17796.32,29375.25,28878.76,30973.22,25980.62,26824.42,26328.23,25582.15,23101.6,22202.4,22773.51,23518.84
C 금속산업_2 합금철 생산,"NO, IE","NO, IE","NO, IE","NO, IE","NO, IE","NO, IE","NO, IE","NO, IE","NO, IE","NO, IE","NO, IE","NO, IE","NO, IE","NO, IE","NO, IE","NO, IE","NO, IE",11.21,6.4,12.82,15.68,18.48,18.88,16.16,8.73,7.74,2.8,1.58,0.91,0.8,0.77,1.92,1.91,0.48
C 금속산업_3 알루미늄 생산,23.26,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
C 금속산업_4 마그네슘 생산,0.8,0.02,1.06,0.09,2.33,6.04,8.18,10.46,11.4,17.39,17.37,16.33,23.62,22.58,25.47,79.43,174.21,173.22,152.3,112.33,148.19,189.43,217.61,317.11,216.67,188.82,179.33,169.58,150.67,170.2,166.21,145.55,204.99,184.68
C 금속산업_5 납 생산,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE
C 금속산업_6 아연 생산,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE
C 금속산업_7 기타,"NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE","NO, NE",57.05,60.59,63.66,71.71,60.64,72.4,77.84,79.41,70.98,82.55,83.47,84.37,76.38,81.14,75.11,58.74,60.99
D 비에너지 연료 및 용매 사용,356.72,360.47,388.23,409.07,446.59,482.95,530.05,529.87,408.71,485.68,510.55,485.64,486.15,523.2,536.06,535.07,520.46,522.49,517.63,470.01,545.53,544.59,556.58,573.36,583.02,606.57,605.54,620.59,599.05,569.54,548.75,573.38,613.45,639.58
D 비에너지 연료 및 용매 사용_1 윤활유 사용,356.72,360.47,388.23,409.07,446.59,482.95,530.05,522.39,403.3,479.55,504.97,479.35,479.37,515.49,526.2,526.8,511.38,510.8,507.84,460.88,534.96,535.53,547.59,563.62,573.14,597.27,594.97,609.74,589.59,556.9,536.73,558.32,598.78,624.61
D 비에너지 연료 및 용매 사용_2 파라핀 왁스 사용,NO,NO,NO,NO,NO,NO,NO,7.47,5.41,6.13,5.58,6.29,6.78,7.71,9.86,8.27,9.08,11.69,9.79,9.12,10.57,9.06,8.99,9.74,9.88,9.29,10.57,10.85,9.46,12.65,12.02,15.06,14.67,14.98
D 비에너지 연료 및 용매 사용_3 기타,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E 전자 산업,"NO, NA","NO, NA","NO, NA","NO, NA","NO, NA","NO, NA","NO, NA",2225.66,2138.03,2745.21,3256.87,3002.8,3062.82,3620.93,4576.77,5053.11,5911.93,6868.07,7423.99,7754.5,8841.78,8591.1,9000.64,9681.93,10716.19,8225.8,5744.05,7324.23,8672.99,7922.95,8601.75,8805.07,6843.01,3624.38
F 오존층파괴물질의 대체물질 사용,"NO, IE","NO, IE",1.57,4.29,238.76,572.94,925,1356.25,1584.37,1995.88,2464.71,2878.24,3432.24,3870.35,4252.41,4583.64,4781.4,5133.35,5776.63,6114.66,7385.1,8740.69,10187.54,12185.32,14184.19,15899.14,17972.63,20210.23,23132.3,24721.09,27207.95,29450.49,32331.66,33412.75
F 오존층파괴물질의 대체물질 사용_1 냉장 및 냉방,"NO, IE","NO, IE",0.54,1.46,236.83,572.54,924.53,1355.39,1583.53,1994.55,2458.19,2870.12,3420.52,3853.55,4240.98,4575.67,4771.06,5121.21,5767.59,6106.81,7353.89,8699.44,10113.25,11942.98,13610.4,15029,16774.26,18713.09,21399.43,22881.88,24891.43,26824.77,29343.21,29713.8
